Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1687783723447,2.5,45.8,"6 km ESE of Anchor Point, Alaska",59.7446,-151.7263,earthquake,automatic,0,,96,,ak
1687749254439,2.5,62.3,"34 km WNW of Karluk, Alaska",57.651,-155.0076,earthquake,automatic,0,,96,,ak
1687703746835,2.5,153.5,"48 km E of Port Alsworth, Alaska",60.1473,-153.4581,earthquake,automatic,0,,96,,ak
1687660214452,2.8,31.1,"35 km SSW of Cooper Landing, Alaska",60.1973,-150.0614,earthquake,automatic,0,,121,,ak
1687641887769,3.6,36.0,"9 km SW of Point MacKenzie, Alaska",61.2919,-150.0994,earthquake,reviewed,0,,252,,ak
1687625774982,2.5,47.7,"4 km SSE of Hope, Alaska",60.8836,-149.5974,earthquake,reviewed,0,,97,,ak
1687598053873,2.5,11.9,"51 km E of Denali National Park, Alaska",63.6055,-150.6889,earthquake,automatic,0,,96,,ak
1687596187907,2.8,2.1,Southern Alaska,61.0005,-152.3329,earthquake,automatic,0,,121,,ak
1687591313239,2.9,7.0,"65 km W of Tyonek, Alaska",61.0458,-152.3544,earthquake,automatic,0,,130,,ak
1687585741325,3.4,99.2,Southern Alaska,60.0238,-152.5995,earthquake,reviewed,0,,179,,ak
1687578572090,2.8,29.9,Southern Alaska,61.4982,-149.9352,earthquake,reviewed,0,,124,,ak
1687562354642,2.6,53.7,"6 km ENE of Nikolaevsk, Alaska",59.8326,-151.5001,earthquake,reviewed,0,,107,,ak
1687557869956,3.1,121.1,"58 km SSE of Kokhanok, Alaska",58.9839,-154.276,earthquake,reviewed,0,,148,,ak
1687553949284,2.9,1.0,Central Alaska,62.4403,-149.3314,other event,reviewed,0,,129,,ak
1687548487273,3.0,14.1,"17 km SE of Valdez, Alaska",61.0314,-146.0931,earthquake,reviewed,0,,139,,ak
1687547402055,2.7,38.5,"3 km ESE of Big Lake, Alaska",61.5117,-149.9007,earthquake,reviewed,0,,114,,ak
1687532946472,2.6,14.7,"73 km NNE of Aleneva, Alaska",58.6766,-152.4724,earthquake,automatic,0,,104,,ak
1687465031359,2.5,3.0,"139 km ESE of Chiniak, Alaska",57.2968,-150.0391,earthquake,reviewed,0,,96,,ak
1687463419321,3.7,31.1,Central Alaska,62.1865,-149.4382,earthquake,reviewed,0,,240,,ak
1687457044546,2.9,6.4,"56 km ESE of Whittier, Alaska",60.6391,-147.6892,earthquake,reviewed,0,,129,,ak
1687357568576,3.8,63.7,Central Alaska,62.4333,-150.5708,earthquake,reviewed,0,,226,,ak
1687324106899,3.1,19.4,,57.3282,-154.819,earthquake,reviewed,0,,148,,ak
1687304866260,2.5,105.9,"57 km W of Happy Valley, Alaska",60.0035,-152.7499,earthquake,reviewed,0,,97,,ak
1687301539173,3.3,107.8,"73 km NNE of Petersville, Alaska",63.1418,-150.4777,earthquake,reviewed,0,,168,,ak
1687298152942,2.8,131.0,"42 km ENE of Pedro Bay, Alaska",59.9425,-153.4165,earthquake,reviewed,0,,121,,ak
1687280478267,2.5,97.5,"60 km E of Pedro Bay, Alaska",59.8294,-153.0278,earthquake,reviewed,0,,96,,ak
1687238216682,3.0,44.5,"24 km ENE of Akhiok, Alaska",57.0493,-153.8155,earthquake,reviewed,0,,138,,ak
1687079671656,5.0,84.2,"59 km N of Karluk, Alaska",58.1016,-154.6028,earthquake,reviewed,1,,410,,ak
1687012132384,3.4,62.8,,59.7406,-152.1578,earthquake,reviewed,0,,178,,ak
1686941432692,2.9,1.3,"86 km NNW of Karluk, Alaska",58.2661,-155.0998,earthquake,reviewed,0,,129,,ak
1686912806681,2.8,41.0,"65 km NE of Susitna North, Alaska",62.4973,-148.8151,earthquake,reviewed,0,,121,,ak
1686852371655,2.7,47.6,"62 km SSW of Nanwalek, Alaska",58.8363,-152.3109,earthquake,reviewed,0,,112,,ak
1686798626516,2.9,65.7,"65 km S of Cantwell, Alaska",62.8056,-148.9698,earthquake,reviewed,0,,129,,ak
1686790640856,3.0,57.3,"11 km SE of Kasilof, Alaska",60.2546,-151.1554,earthquake,reviewed,0,,138,,ak
1686756711212,2.8,39.8,"6 km NW of Anchorage, Alaska",61.2621,-149.9715,earthquake,reviewed,0,,127,,ak
1686686893330,3.9,62.3,"25 km SW of Susitna, Alaska",61.4012,-150.889,earthquake,reviewed,0,,290,,ak
1686584133890,3.0,87.7,"41 km NW of Beluga, Alaska",61.3641,-151.6988,earthquake,reviewed,0,,138,,ak
1686549365207,2.6,46.8,"48 km SW of Karluk, Alaska",57.2699,-155.0443,earthquake,reviewed,0,,104,,ak
1686538769794,2.5,162.8,"42 km NE of Pedro Bay, Alaska",60.0577,-153.5587,earthquake,reviewed,0,,96,,ak
1686527787616,2.9,182.3,"28 km ESE of King Salmon, Alaska",58.5895,-156.2019,earthquake,reviewed,0,,129,,ak
1686522589470,2.5,106.2,Alaska Peninsula,58.4871,-154.9713,earthquake,reviewed,0,,96,,ak
1686485397040,2.8,51.0,"10 km SE of Kasilof, Alaska",60.2714,-151.1388,earthquake,reviewed,0,,121,,ak
1686440672839,3.3,59.6,,58.1262,-153.699,earthquake,reviewed,0,,168,,ak
1686431619057,3.1,59.1,"6 km SW of Happy Valley, Alaska",59.9126,-151.8173,earthquake,reviewed,0,,148,,ak
1686386696996,3.3,88.8,"42 km WNW of Salamatof, Alaska",60.7019,-152.0841,earthquake,reviewed,0,,168,,ak
