id_estado,Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Significancia,Fuente
1,1687546351700,2.84,2.65,"1km NNW of Pinnacles, CA",36.538,-121.145,earthquake,reviewed,0,125,nc
1,1687355939970,2.51,7.82,"12km SW of Searles Valley, CA",35.6848333,-117.483,earthquake,reviewed,0,97,ci
1,1687302508970,2.56,-1.26,"4km WNW of Mammoth Lakes, CA",37.6486667,-119.0208333,earthquake,reviewed,0,106,nc
1,1687211462180,2.54,-1.41,"17km NW of Walker, CA",38.6295,-119.6115,earthquake,reviewed,0,99,nc
1,1687157351580,3.57,6.81,"32km ESE of Lake Isabella, CA",35.498,-118.145,earthquake,reviewed,0,205,ci
1,1687132394890,2.96,6.74,"14km SSW of Searles Valley, CA",35.664,-117.4825,earthquake,reviewed,0,135,ci
1,1687062822890,2.53,1.73,"6km NW of Round Valley, CA",37.453,-118.6503333,earthquake,reviewed,0,98,nc
1,1686716490830,2.57,3.92,"7km WSW of Gilroy, CA",36.9818333,-121.6421667,earthquake,reviewed,0,113,nc
1,1686696343790,3.29,2.6,"1km NNW of Pinnacles, CA",36.5368333,-121.1455,earthquake,reviewed,0,172,nc
1,1686671516810,2.62,7.43,"14km ENE of Lake Isabella, CA",35.644,-118.3205,earthquake,reviewed,0,108,ci
1,1686657192830,2.55,6.16,"8km NW of Pinnacles, CA",36.5903333,-121.1955,earthquake,reviewed,0,101,nc
1,1686577674210,2.63,7.99,"6km SSW of Gilroy, CA",36.9628333,-121.6011667,earthquake,reviewed,0,122,nc
1,1686432004670,2.92,2.48,"0km NNW of Pinnacles, CA",36.5346667,-121.1455,earthquake,reviewed,0,131,nc
1,1686268857900,2.65,3.61,"6km NW of Round Valley, CA",37.4485,-118.6538333,earthquake,reviewed,0,109,nc
1,1686035276303,2.7,14.1,"34 km SSE of Goldfield, Nevada",37.4152,-117.0927,earthquake,reviewed,0,112,nn
1,1686002520820,2.57,8.96,"17km SSW of Searles Valley, CA",35.6203333,-117.4431667,earthquake,reviewed,0,102,ci
1,1685896904370,3.08,-0.05,"21km S of Santa Barbara, CA",34.239,-119.7366667,earthquake,reviewed,0,162,ci
1,1685855254160,2.53,1.87,"15km E of Coso Junction, CA",36.0421667,-117.7775,earthquake,reviewed,0,98,ci
1,1685777100480,2.67,8.03,"14km ESE of Wofford Heights, CA",35.6446667,-118.3231667,earthquake,reviewed,0,115,ci
1,1685775344200,2.63,8.01,"14km ESE of Wofford Heights, CA",35.6456667,-118.3198333,earthquake,reviewed,0,108,ci
1,1685744993532,2.5,7.2,"52 km S of Silver Peak, Nevada",37.2817,-117.5966,earthquake,reviewed,0,96,nn
1,1685729249970,2.58,5.89,"16km SSE of Tres Pinos, CA",36.6508333,-121.2778333,earthquake,reviewed,0,103,nc
1,1685706887450,2.75,5.55,"13km SE of Bodfish, CA",35.504,-118.3945,earthquake,reviewed,0,120,ci
1,1685502052050,3.06,2.54,"25km SW of Lone Pine, CA",36.4115,-118.2483333,earthquake,reviewed,0,149,ci
1,1685435498740,2.93,4.5,"64km ENE of Big Pine, CA",37.288,-117.5848333,earthquake,reviewed,0,132,ci
1,1685367601580,2.67,5.93,"64km E of Big Pine, CA",37.2701667,-117.5828333,earthquake,reviewed,0,110,ci
1,1685133948640,2.58,-1.24,"6km SSE of Markleeville, CA",38.6386667,-119.7776667,earthquake,reviewed,0,102,nc
1,1685133541380,3.08,-1.28,"6km SSE of Markleeville, CA",38.6376667,-119.777,earthquake,reviewed,0,148,nc
1,1685011354430,2.52,8.92,"3km N of West Bishop, CA",37.3905,-118.4528333,earthquake,reviewed,0,98,nc
1,1684888225200,3.04,6.16,"64km ENE of Big Pine, CA",37.2783333,-117.5841667,earthquake,reviewed,0,142,ci
1,1684863214192,2.7,12.634,"54 km S of Silver Peak, Nevada",37.2674,-117.5828,earthquake,reviewed,0,112,us
1,1684844607109,2.6,4.534,"53 km S of Silver Peak, Nevada",37.274,-117.6054,earthquake,reviewed,0,104,us
1,1684801874620,2.69,6.13,"15km SSW of Searles Valley, CA",35.6385,-117.4471667,earthquake,reviewed,0,112,ci
1,1684669295602,2.5,6.018,California-Nevada border region,37.2859,-117.5879,earthquake,reviewed,0,96,us
1,1684663747340,2.77,3.69,"20km E of Little Lake, CA",35.9531667,-117.6913333,earthquake,reviewed,0,118,ci
1,1684659313813,2.7,7.1,"32 km SE of Mina, Nevada",38.1544,-117.884,earthquake,reviewed,0,112,nn
1,1684641211313,2.9,7.2,"51 km S of Silver Peak, Nevada",37.2905,-117.5807,earthquake,reviewed,0,129,nn
1,1684640154561,3.1,5.481,"53 km S of Silver Peak, Nevada",37.2718,-117.5855,earthquake,reviewed,0,148,us
1,1684639589610,4.26,5.29,"64km ENE of Big Pine, CA",37.2836667,-117.5835,earthquake,reviewed,0,280,ci
1,1684638398611,2.8,10.0,"53 km S of Silver Peak, Nevada",37.2741,-117.5861,earthquake,reviewed,0,121,us
1,1684524729690,2.58,7.78,"13km SE of Bodfish, CA",35.5215,-118.379,earthquake,reviewed,0,104,ci
1,1684470124585,3.3,9.8,"35 km SE of Mina, Nevada",38.1634,-117.8174,earthquake,reviewed,0,168,nn
1,1684385013420,2.57,8.66,"2km SW of Hollister, CA",36.8341667,-121.4096667,earthquake,reviewed,0,105,nc
1,1684335705260,3.07,3.75,"16km SSE of Tres Pinos, CA",36.6485,-121.272,earthquake,reviewed,0,146,nc
1,1684333505270,2.54,3.5,"16km SSE of Tres Pinos, CA",36.6496667,-121.2738333,earthquake,reviewed,0,99,nc
1,1684089201930,2.84,6.15,"2km NNE of Pinnacles, CA",36.544,-121.1368333,earthquake,reviewed,0,125,nc
1,1683930554464,2.8,11.5,"28 km WSW of Hawthorne, Nevada",38.4022,-118.9145,earthquake,reviewed,0,121,nn
1,1683925051290,2.88,4.48,"13km NNW of San Simeon, CA",35.7493333,-121.2476667,earthquake,reviewed,0,128,nc
1,1683321087212,2.8,11.4,"32 km SE of Mina, Nevada",38.1839,-117.859,earthquake,reviewed,0,121,nn
1,1683285135710,3.38,13.84,"13km NNE of Grapevine, CA",35.056,-118.8973333,earthquake,reviewed,0,184,ci
1,1683114218350,3.09,9.27,"19km ESE of Little Lake, CA",35.8708333,-117.7168333,earthquake,reviewed,0,148,ci
1,1683083657840,3.12,5.09,"4km S of San Juan Bautista, CA",36.8116667,-121.5408333,earthquake,reviewed,0,167,nc
1,1683078024490,3.56,8.85,"19km ESE of Little Lake, CA",35.8715,-117.7166667,earthquake,reviewed,0,201,ci
1,1683071627370,2.6,8.8,"18km ESE of Little Lake, CA",35.8708333,-117.7186667,earthquake,reviewed,0,105,ci
1,1682986775430,3.21,0.15,"21km NNW of Searles Valley, CA",35.9438333,-117.4958333,earthquake,reviewed,0,159,ci
1,1682663591540,2.91,0.09,"70km NNW of Stovepipe Wells, CA",37.1808333,-117.4753333,earthquake,reviewed,0,130,ci
1,1682494473370,3.1,6.26,"16km E of Seven Trees, CA",37.2868333,-121.6576667,earthquake,reviewed,0,247,nc
1,1682395935210,3.12,7.63,"14km NNW of San Simeon, CA",35.766,-121.2321667,earthquake,reviewed,0,153,nc
1,1682283547390,2.55,19.18,"6km SW of Antioch, CA",37.96,-121.854,earthquake,reviewed,0,101,nc
1,1682281218080,2.82,20.63,"6km SW of Antioch, CA",37.9575,-121.846,earthquake,reviewed,0,133,nc
1,1682246165080,2.66,2.33,"12km NNW of Hollister, CA",36.9448333,-121.4428333,earthquake,reviewed,0,111,nc
1,1682129073780,2.93,7.47,"15km S of Tres Pinos, CA",36.6595,-121.2931667,earthquake,reviewed,0,133,nc
1,1682068436100,3.16,3.88,"11km NNW of Hollister, CA",36.938,-121.4398333,earthquake,reviewed,0,170,nc
1,1681961747710,3.65,16.04,"9km ESE of Clayton, CA",37.9163333,-121.8396667,earthquake,reviewed,0,615,nc
1,1681945309050,2.87,3.74,"11km S of Tres Pinos, CA",36.6901667,-121.3256667,earthquake,reviewed,0,127,nc
1,1681838633130,2.86,4.1,"11km S of Tres Pinos, CA",36.688,-121.3255,earthquake,reviewed,0,128,nc
1,1681761108890,2.5,9.24,"5km NE of Pinnacles, CA",36.5611667,-121.1053333,earthquake,reviewed,0,97,nc
1,1681726803320,2.55,7.05,"13km SE of Bodfish, CA",35.505,-118.3873333,earthquake,reviewed,0,101,ci
1,1681724359270,2.74,11.08,"7km ENE of Pinnacles, CA",36.5648333,-121.0786667,earthquake,reviewed,0,116,nc
1,1681658607389,3.3,7.4,"30 km SSE of Mina, Nevada",38.1429,-117.9704,earthquake,reviewed,0,168,nn
1,1681429152680,2.52,2.02,"6km NNW of Pinnacles, CA",36.5806667,-121.1758333,earthquake,reviewed,0,98,nc
1,1681354361470,3.02,3.8,"16km WSW of Toms Place, CA",37.4906667,-118.8396667,earthquake,reviewed,0,141,nc
1,1681351855960,2.59,5.92,"23km NW of San Simeon, CA",35.8063333,-121.3408333,earthquake,reviewed,0,104,nc
1,1681333238800,2.5,9.0,"30 km ENE of Bridgeport, California",38.3621,-118.9134,earthquake,reviewed,0,96,nn
1,1681266155250,3.26,3.66,"4km NNW of Pinnacles, CA",36.565,-121.1555,earthquake,reviewed,0,170,nc
1,1681258357220,2.67,4.9,"21km WNW of Sunnyside-Tahoe City, CA",39.2096667,-120.3928333,earthquake,reviewed,0,111,nc
1,1681234832910,3.0,5.68,"9km ENE of San Martin, CA",37.1093333,-121.5181667,earthquake,reviewed,0,162,nc
1,1681176106330,2.81,8.71,"14km ENE of Ridgecrest, CA",35.6705,-117.5311667,earthquake,reviewed,0,122,ci
1,1681162728270,2.59,7.43,"13km SW of Searles Valley, CA",35.6786667,-117.4903333,earthquake,reviewed,0,103,ci
1,1681086186960,2.85,1.32,"15km N of Deep Springs, CA",37.506,-117.9835,earthquake,reviewed,0,125,nc
1,1681082594520,2.59,5.35,"24km NW of Parkfield, CA",36.052,-120.6215,earthquake,reviewed,0,103,nc
1,1681035681100,2.53,8.0,"12km ESE of Alum Rock, CA",37.3383333,-121.697,earthquake,reviewed,0,101,nc
1,1681031438920,2.86,3.76,"5km W of Walker, CA",38.5125,-119.5366667,earthquake,reviewed,0,126,nc
1,1680666939810,2.55,4.02,"9km SW of Toms Place, CA",37.5175,-118.7616667,earthquake,reviewed,0,100,nc
1,1680646997820,4.41,10.16,"1km NNW of Tres Pinos, CA",36.801,-121.323,earthquake,reviewed,1,799,nc
1,1680596108870,2.79,8.2,"22km S of Mammoth Lakes, CA",37.4421667,-119.0118333,earthquake,reviewed,0,120,nc
1,1680595826100,2.9,11.35,"22km S of Mammoth Lakes, CA",37.4448333,-119.0156667,earthquake,reviewed,0,129,nc
1,1680521728000,3.08,5.99,"14km E of Arvin, CA",35.2038333,-118.6721667,earthquake,reviewed,0,157,ci
1,1680367428280,3.01,7.62,"3km NNE of San Leandro, CA",37.7491667,-122.1433333,earthquake,reviewed,0,394,nc
1,1680367413460,2.68,7.64,"3km NNE of San Leandro, CA",37.7493333,-122.145,earthquake,reviewed,0,127,nc
1,1680366296230,3.0,7.58,"3km NNE of San Leandro, CA",37.7505,-122.1426667,earthquake,reviewed,0,429,nc
1,1680327479330,2.59,7.34,"13km SE of Bodfish, CA",35.5038333,-118.3868333,earthquake,reviewed,0,103,ci
1,1680323554080,2.76,10.08,"1km N of Tres Pinos, CA",36.8015,-121.3191667,earthquake,reviewed,0,122,nc
1,1680316524018,2.5,7.3,"40 km ESE of Mina, Nevada",38.2027,-117.7149,earthquake,reviewed,0,96,nn
1,1680238443048,2.6,9.8,California-Nevada border region,38.151,-118.2479,earthquake,reviewed,0,104,nn
1,1680163542770,2.74,9.99,"3km NE of Round Valley, CA",37.4321667,-118.5658333,earthquake,reviewed,0,116,nc
1,1680157965950,2.55,5.4,"3km WNW of Walker, CA",38.523,-119.5173333,earthquake,reviewed,0,100,nc
1,1680073877280,2.94,6.55,"21km ESE of Little Lake, CA",35.8483333,-117.7021667,earthquake,reviewed,0,133,ci
1,1680008640490,2.6,8.7,"1km ENE of Pacifica, CA",37.6181667,-122.474,earthquake,reviewed,0,172,nc
1,1680008588920,2.58,8.99,"1km ENE of Pacifica, CA",37.616,-122.4793333,earthquake,reviewed,0,142,nc
1,1680008478360,3.4,9.13,"1km ENE of Pacifica, CA",37.6173333,-122.4773333,earthquake,reviewed,0,578,nc
1,1679811645070,3.59,0.42,"48km E of Trona, CA",35.7898333,-116.8505,earthquake,reviewed,0,200,ci
1,1679718731220,2.87,5.29,"11km SSE of Bodfish, CA",35.491,-118.4648333,earthquake,reviewed,0,129,ci
1,1679617820870,3.24,9.3,"23km ESE of Ridgecrest, CA",35.5355,-117.44,earthquake,reviewed,0,163,ci
1,1679579011791,2.6,11.2,"35 km SE of Mina, Nevada",38.1847,-117.7944,earthquake,reviewed,0,104,nn
1,1679542733700,3.22,4.04,"10km S of Tres Pinos, CA",36.7035,-121.341,earthquake,reviewed,0,166,nc
1,1679328579810,2.97,6.45,"16km E of Seven Trees, CA",37.2863333,-121.6566667,earthquake,reviewed,0,210,nc
1,1679224790860,2.68,5.46,"1km WNW of Walker, CA",38.521,-119.494,earthquake,reviewed,0,110,nc
1,1679219613190,2.72,6.66,"12km SE of Bodfish, CA",35.5175,-118.3905,earthquake,reviewed,0,117,ci
1,1679149386660,3.7,0.32,"15km N of Deep Springs, CA",37.508,-117.9741667,earthquake,reviewed,0,211,nc
1,1679123022530,3.87,-0.21,"15km N of Deep Springs, CA",37.5096667,-117.972,earthquake,reviewed,0,234,nc
1,1679039091680,2.59,6.87,"34km WSW of San Simeon, CA",35.5491667,-121.553,earthquake,reviewed,0,104,nc
1,1678970112170,2.88,3.38,"19km SSE of Livermore, CA",37.525,-121.6948333,earthquake,reviewed,0,131,nc
1,1678919679340,2.72,0.31,"15km N of Deep Springs, CA",37.5045,-117.9708333,earthquake,reviewed,0,114,nc
1,1678916645160,3.75,-0.79,"16km N of Deep Springs, CA",37.5105,-117.9556667,earthquake,reviewed,0,217,nc
1,1678915720290,2.59,13.17,"14km N of Deep Springs, CA",37.499,-117.9785,earthquake,reviewed,0,103,nc
1,1678914549200,2.57,4.84,"18km N of Deep Springs, CA",37.533,-117.9818333,earthquake,reviewed,0,102,nc
1,1678913124510,2.68,0.09,"15km N of Deep Springs, CA",37.51,-117.9746667,earthquake,reviewed,0,110,nc
1,1678909419650,2.64,-0.89,"15km NNE of Deep Springs, CA",37.5003333,-117.951,earthquake,reviewed,0,107,nc
1,1678904981780,3.49,6.15,"13km NNW of San Simeon, CA",35.7473333,-121.2455,earthquake,reviewed,0,196,nc
1,1678884847830,2.78,7.77,"13km N of Deep Springs, CA",37.4855,-117.9975,earthquake,reviewed,0,119,nc
1,1678821355330,2.8,4.33,"11km S of Tres Pinos, CA",36.6931667,-121.3293333,earthquake,reviewed,0,121,nc
1,1678820315180,2.89,4.21,"11km S of Tres Pinos, CA",36.6936667,-121.3316667,earthquake,reviewed,0,129,nc
1,1678817273140,2.54,3.72,"11km S of Tres Pinos, CA",36.6948333,-121.3335,earthquake,reviewed,0,99,nc
1,1678816068710,2.76,1.77,"13km SSW of Tres Pinos, CA",36.6793333,-121.3518333,earthquake,reviewed,0,117,nc
1,1678816011420,3.21,4.19,"10km S of Tres Pinos, CA",36.6975,-121.3381667,earthquake,reviewed,0,160,nc
1,1678815704820,3.24,3.99,"10km S of Tres Pinos, CA",36.7003333,-121.34,earthquake,reviewed,0,163,nc
1,1678815684710,3.19,4.02,"10km S of Tres Pinos, CA",36.6996667,-121.339,earthquake,reviewed,0,160,nc
1,1678815503510,2.78,4.06,"16km N of Deep Springs, CA",37.5156667,-117.9813333,earthquake,reviewed,0,119,nc
1,1678805502710,2.85,3.18,"15km N of Deep Springs, CA",37.5095,-117.9848333,earthquake,reviewed,0,125,nc
1,1678804765740,2.91,-0.24,"15km N of Deep Springs, CA",37.5028333,-117.9585,earthquake,reviewed,0,130,nc
1,1678800308630,2.7,7.82,"16km N of Deep Springs, CA",37.512,-117.9808333,earthquake,reviewed,0,112,nc
1,1678790744960,2.81,-0.12,"15km N of Deep Springs, CA",37.5071667,-117.9851667,earthquake,reviewed,0,122,nc
1,1678788798680,3.88,-1.23,"17km N of Deep Springs, CA",37.5213333,-117.971,earthquake,reviewed,0,233,nc
1,1678787855470,2.7,1.13,"17km N of Deep Springs, CA",37.5285,-117.9786667,earthquake,reviewed,0,112,nc
1,1678786528880,3.15,-0.46,"16km N of Deep Springs, CA",37.5195,-117.972,earthquake,reviewed,0,153,nc
