Lista_Pais,Pais,Adhesión,Fecha
1,Argentina,No,Sin Fecha
2,Chile,No,Sin Fecha
3,Ecuador,No,Sin Fecha
4,Colombia,Si,0/07/2023
5,Perú,Si,0/07/2023
6,Panamá,No,Sin Fecha
7,Costa Rica,No,Sin Fecha
8,Nicaragua,No,Sin Fecha
9,El Salvador,No,Sin Fecha
10,Honduras,No,Sin Fecha
11,Guatemala,No,Sin Fecha
12,México,Si,0/07/2023
13,Estados Unidos,Si,0/07/2023
14,Canadá,No,Sin Fecha
15,islas Aleutianas,No,Sin Fecha
16,Rusia,No,Sin Fecha
17,Japón,Si,0/07/2023
18,Taiwán,No,Sin Fecha
19,Filipinas,No,Sin Fecha
20,Indonesia,No,Sin Fecha
21,Malasia,No,Sin Fecha
22,Timor Oriental,No,Sin Fecha
23,Brunéi,No,Sin Fecha
24,Singapur,No,Sin Fecha
25,Papúa Nueva Guinea,No,Sin Fecha
26,Islas Salomón,No,Sin Fecha
27,Tonga,No,Sin Fecha
28,Samoa,No,Sin Fecha
29,Tuvalu,No,Sin Fecha
30,Nueva Zelanda,No,Sin Fecha
