Var,Nombre,Adherido,Fecha
1,Tiempo,Si,01/07/2023
2,Latitud,Si,01/07/2023
3,Longitud,Si,01/07/2023
4,Profundidad,Si,01/07/2023
5,Magnitud,Si,01/07/2023
6,Tipo Magnitud,Si,01/07/2023
7,Tipo Profundidad,Si,01/07/2023
8,Nst,No,Sin Fecha
9,Gap,No,Sin Fecha
10,Dmin,No,Sin Fecha
11,RMS,No,Sin Fecha
12,Net,No,Sin Fecha
13,ID,No,Sin Fecha
14,Update,No,Sin Fecha
15,Lugar,Si,01/07/2023
16,Tipo,No,Sin Fecha
17,Error Horizontal,No,Sin Fecha
18,Error Profundidad,No,Sin Fecha
19,Error Magnitud,No,Sin Fecha
20,Mag Nst,No,Sin Fecha
21,Estado,No,Sin Fecha
22,Fuente de Localización,No,Sin Fecha
23,Fuente Magnitud,No,Sin Fecha
