Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1686616483979,2.75,8.76,"12 km WSW of Union City, Oklahoma",35.36266667,-98.079,earthquake,reviewed,0,,118,97.0,ok
1685789808250,2.54,6.64,"1 km N of Cole, Oklahoma",35.119,-97.57616667,earthquake,reviewed,0,,111,95.0,ok
1684310371739,2.75,4.0,"10 km W of Lamont, Oklahoma",36.70133333,-97.6705,earthquake,reviewed,0,,119,95.0,ok
1684186220910,2.98,7.81,"8 km NW of Prague, Oklahoma",35.536,-96.74966667,earthquake,reviewed,0,,139,90.0,ok
1684135069289,2.71,24.46,"12 km E of Hall Park, Oklahoma",35.24,-97.26683333,earthquake,reviewed,0,,114,100.0,ok
1683448103329,2.84,6.81,"10 km NW of Pocasset, Oklahoma",35.24716667,-98.04966667,earthquake,reviewed,0,,126,74.0,ok
1683272837370,2.68,14.46,"7 km NNW of Velma, Oklahoma",34.51866667,-97.70466667,earthquake,reviewed,0,,111,80.0,ok
1683200297699,2.74,5.39,"10 km NW of Pocasset, Oklahoma",35.251,-98.04666667,earthquake,reviewed,0,,121,94.0,ok
1681942465719,2.63,2.51,"5 km WNW of Horntown, Oklahoma",35.10333333,-96.30333333,earthquake,reviewed,0,,107,98.0,ok
1681926131830,3.05,5.0,"2 km SSE of Meno, Oklahoma",36.36816667,-98.16983333,earthquake,reviewed,0,,144,78.0,ok
1681886220360,2.6,7.95,"4 km ESE of Carney, Oklahoma",35.79016667,-96.96533333,earthquake,reviewed,0,,106,78.0,ok
1680878683649,2.56,7.09,"3 km ESE of Carney, Oklahoma",35.79383333,-96.97616667,earthquake,reviewed,0,,102,86.0,ok
1680874592990,3.36,7.0,"3 km ESE of Carney, Oklahoma",35.79116667,-96.97766667,earthquake,reviewed,0,,183,99.0,ok
1680772616829,3.24,7.23,Oklahoma,35.7915,-96.9785,earthquake,reviewed,0,,186,81.0,ok
1680771436809,4.0,7.0,"4 km ESE of Carney, Oklahoma",35.7935,-96.96983333,earthquake,reviewed,0,green,716,99.0,ok
1680673742080,2.77,7.03,"8 km WSW of Waynoka, Oklahoma",36.53933333,-98.9605,earthquake,reviewed,0,,118,88.0,ok
1680661960530,3.19,7.82,"4 km ESE of Carney, Oklahoma",35.79416667,-96.96883333,earthquake,reviewed,0,,163,91.0,ok
1679283341600,2.52,5.0,"6 km SW of Manchester, Oklahoma",36.95733333,-98.09016667,earthquake,reviewed,0,,98,89.0,ok
1678931459469,2.6,7.12,"11 km E of Crowder, Oklahoma",35.12266667,-95.54133333,earthquake,reviewed,0,,104,82.0,ok
1678913002839,2.82,6.42,"13 km NW of Pawnee, Oklahoma",36.42283333,-96.91183333,earthquake,reviewed,0,,123,100.0,ok
1676968025080,2.56,6.97,"2 km SSE of Cushing, Oklahoma",35.96233333,-96.75883333,earthquake,reviewed,0,,103,100.0,ok
1676666757679,3.11,7.74,"6 km ENE of Fairmont, Oklahoma",36.38233333,-97.64483333,earthquake,reviewed,0,,151,98.0,ok
1676226638070,2.61,2.4,"6 km ESE of Dacoma, Oklahoma",36.6335,-98.49833333,earthquake,reviewed,0,,106,96.0,ok
1675268723120,2.76,10.41,,34.95383333,-97.722,earthquake,reviewed,0,,118,95.0,ok
1675057946129,3.04,7.35,"17 km SE of Waynoka, Oklahoma",36.45466667,-98.765,earthquake,reviewed,0,,143,98.0,ok
1675056744719,3.0,7.9,"16 km SE of Waynoka, Oklahoma",36.46,-98.7655,earthquake,reviewed,0,,139,95.0,ok
1674969990600,3.07,4.06,"12 km W of Fairview, Oklahoma",36.25166667,-98.61933333,earthquake,reviewed,0,,149,84.0,ok
